Sector,Constant,Val,Min Var,Risk Par,Rand
All,1.9235***,-0.17429**,-0.37302***,-0.31987***,0.20744***
10,1.7672***,-0.17373**,-0.15434**,-0.12129*,0.2077***
15,1.7729***,-0.03588,-0.18261**,-0.1388*,0.19026**
20,1.8322***,-0.46075***,-0.31348***,-0.26698***,0.22905***
25,2.0191***,-0.12491.,-0.27888***,-0.20542**,0.22753***
30,1.4372***,-0.31504***,-0.17014***,-0.1828***,0.19127***
35,2.5712***,-0.88986***,-0.45502***,-0.3536***,0.29306***
40,1.2112***,0.39327***,-0.13611**,-0.1377**,0.103*
45,2.1001***,-0.14397.,-0.15664*,-0.1883*,0.20096*
50,1.8213***,-0.22439***,-0.3923***,-0.26137***,0.18833**
55,0.80332***,0.04167,-0.15264***,-0.16472***,0.11849**
60,1.2294***,-0.04759,-0.1757***,-0.16375***,0.14276**
High,35,40,40,10,35
Low,55,35,35,35,40
Diff,1.7678,1.2831,0.31891,0.23231,0.19006
